period,Front_10yr,Back_10yr
1,0.000936876,0
2,0.00185235,0
3,0.002858052,0
4,0.003935854,0
5,0.005068857,0
6,0.006241358,0
7,0.007438814,0
8,0.008647807,0
9,0.009856014,0
10,0.011052164,0
11,0.012226013,0
12,0.013368303,0
13,0.014470731,0.000133585
14,0.015525912,0.000267171
15,0.016527347,0.000400756
16,0.017469386,0.000534341
17,0.018347197,0.000667926
18,0.019156728,0.000801512
19,0.019894673,0.000935097
20,0.020558442,0.001068682
21,0.02114612,0.001202267
22,0.021656437,0.001335853
23,0.022088731,0.001469438
24,0.022442916,0.001603023
25,0.022719446,0.001736608
26,0.022919281,0.001870194
27,0.023043851,0.002003779
28,0.023095025,0.002137364
29,0.023075073,0.002388819
30,0.022986633,0.002640274
31,0.022832677,0.002891728
32,0.022616477,0.003143183
33,0.022341568,0.003269026
34,0.022011716,0.003549406
35,0.021630881,0.003837541
36,0.021203189,0.004132986
37,0.020732886,0.00443529
38,0.020224317,0.004743997
39,0.019681879,0.005058643
40,0.019109998,0.005378763
41,0.018513084,0.005703883
42,0.017895505,0.006033527
43,0.017261548,0.006367212
44,0.016615384,0.00670445
45,0.015961038,0.007044748
46,0.01530235,0.007387608
47,0.014642941,0.007732526
48,0.013986183,0.008078993
49,0.013335159,0.008426495
50,0.012692631,0.008774515
51,0.012061007,0.009122526
52,0.011442302,0.00947
53,0.01083811,0.009816401
54,0.010249564,0.010161191
55,0.009677303,0.010503823
56,0.00912144,0.010843748
57,0.008581524,0.011180409
58,0.008056509,0.011513246
59,0.007544715,0.011841693
60,0.007043799,0.012165179
61,0.006532531,0.012483127
62,0.006043714,0.012794956
63,0.005566257,0.013100078
64,0.005107893,0.013397903
65,0.004675445,0.013687832
66,0.004269148,0.013969263
67,0.003889079,0.014241588
68,0.00353516,0.014504195
69,0.003207162,0.014756465
70,0.002904715,0.014997775
71,0.002627307,0.015227497
72,0.002374297,0.015444997
73,0.002144917,0.015649635
74,0.001938285,0.015840769
75,0.001753409,0.016017748
76,0.001589202,0.016179917
77,0.001444487,0.016326618
78,0.001318011,0.016457185
79,0.001208458,0.016570948
80,0.001114456,0.016667231
81,0.001034598,0.016745355
82,0.000967447,0.016804632
83,0.000911558,0.016844373
84,0.000865491,0.01686388
85,0.000827825,0.016862453
86,0.000797177,0.016839384
87,0.000797177,0.016793963
88,0.000797177,0.016725471
89,0.000797177,0.016633187
90,0.000797177,0.016516382
91,0.000797177,0.016374326
92,0.000797177,0.016206278
93,0.000797177,0.016011497
94,0.000797177,0.015789234
95,0.000797177,0.015538736
96,0.000797177,0.015259243
97,0.000797177,0.014949992
98,0.000797177,0.014610213
99,0.000797177,0.014239133
100,0.000797177,0.013835972
101,0.000797177,0.013399944
102,0.000797177,0.01293026
103,0.000797177,0.012426125
104,0.000797177,0.011886738
105,0.000797177,0.011311294
106,0.000797177,0.010698981
107,0.000797177,0.010048984
108,0.000797177,0.009360482
109,0,0.008632647
110,0,0.007864649
111,0,0.007055651
112,0,0.006204809
113,0,0.005311278
114,0,0.004374204
115,0,0.00339273
116,0,0.002365993
117,0,0.001293125
118,0,0.000173252
119,0,0
120,0,0
