period,3m_forward,up_stress,down_stress
1,0.0005,0.0005,0.0005
2,0.0004988,0.0006827,0.000118
3,0.0004963,0.0007722,0.0000511
4,0.0004996,0.0008674,-0.0000129
5,0.0004994,0.0009592,-0.0000787
6,0.0004971,0.0010488,-0.0001455
7,0.0004991,0.0011428,-0.0002102
8,0.0005125,0.0012482,-0.0002692
9,0.0005381,0.0013657,-0.0003221
10,0.0005746,0.0014942,-0.0003695
11,0.0006287,0.0016402,-0.0004082
12,0.0006927,0.0017962,-0.0004418
13,0.0007708,0.0019662,-0.0004685
14,0.0008714,0.0021588,-0.0004839
15,0.0009825,0.0023618,-0.000494
16,0.0011196,0.0025909,-0.0004911
17,0.0012636,0.0028269,-0.0004848
18,0.0014237,0.0030789,-0.0004704
19,0.0016155,0.0033627,-0.0004402
20,0.0017955,0.0036346,-0.0004159
21,0.0020107,0.0039418,-0.000374
22,0.0022465,0.0042695,-0.0003218
23,0.0024746,0.0045896,-0.0002734
24,0.0027265,0.0049335,-0.0002131
25,0.0029821,0.005281,-0.000151
26,0.0032304,0.0056213,-0.0000926
27,0.0034824,0.0059652,-0.0000322
28,0.0037496,0.0063244,0.0000357
29,0.0039729,0.0066396,0.0000816
30,0.0042166,0.0069753,0.0001378
31,0.0044614,0.0073121,0.0001945
32,0.0046829,0.0076255,0.0002396
33,0.004923,0.0079576,0.000294
34,0.0051405,0.008267,0.000337
35,0.0053592,0.0085777,0.0003807
36,0.005591,0.0089014,0.0004309
37,0.0057859,0.0091883,0.0004627
38,0.0059837,0.009478,0.0004959
39,0.0061863,0.0097726,0.0005315
40,0.0063698,0.0100481,0.0005576
41,0.0065455,0.0103157,0.0005797
42,0.00673,0.0105922,0.0006063
43,0.0068827,0.0108368,0.000617
44,0.0070356,0.0110817,0.0006277
45,0.0071896,0.0113276,0.0006391
46,0.0073172,0.0115472,0.0006372
47,0.0074531,0.0117751,0.0006394
48,0.0075805,0.0119944,0.0006375
49,0.0076941,0.0122,0.0006286
50,0.0078141,0.0124119,0.0006229
51,0.0079429,0.0126327,0.0006216
52,0.008054,0.0128357,0.0006115
53,0.0081674,0.0130411,0.0006025
54,0.0082866,0.0132523,0.0005964
55,0.0083954,0.013453,0.0005851
56,0.0085082,0.0136578,0.0005758
57,0.008615,0.0138565,0.0005636
58,0.0087167,0.0140502,0.0005487
59,0.0088334,0.0142588,0.0005414
60,0.0089296,0.014447,0.0005238
61,0.0090278,0.0146371,0.0005072
62,0.0091317,0.014833,0.0004935
63,0.0092386,0.0150319,0.0004813
64,0.0093388,0.015224,0.0004657
65,0.0094419,0.0154191,0.0004515
66,0.0095407,0.0156098,0.0004353
67,0.0096412,0.0158023,0.0004198
68,0.009746,0.015999,0.0004065
69,0.0098401,0.0161851,0.0003879
70,0.0099335,0.0163705,0.0003689
71,0.0100384,0.0165673,0.0003557
72,0.0101303,0.0167512,0.000336
73,0.0102239,0.0169367,0.0003171
74,0.0103274,0.0171322,0.0003031
75,0.0104174,0.0173141,0.0002825
76,0.0105142,0.0175029,0.0002652
77,0.0106135,0.0176942,0.0002491
78,0.0107029,0.0178755,0.0002282
79,0.0107967,0.0180613,0.0002094
80,0.0108916,0.0182481,0.0001911
81,0.0109824,0.0184309,0.0001709
82,0.0110711,0.0186115,0.0001495
83,0.011165,0.0187974,0.0001308
84,0.0112537,0.0189781,0.0001095
85,0.0113436,0.0191599,0.0000887
86,0.0114261,0.0193344,0.0000643
87,0.0115103,0.0195105,0.0000407
88,0.0115971,0.0196893,0.0000184
89,0.0116683,0.0198524,-0.0000117
90,0.0117446,0.0200207,-0.0000392
91,0.0118194,0.0201874,-0.0000675
92,0.0118859,0.0203459,-0.0000999
93,0.0119565,0.0205085,-0.0001303
94,0.012018,0.0206619,-0.0001652
95,0.0120779,0.0208138,-0.000201
96,0.0121422,0.02097,-0.0002345
97,0.0121947,0.0211145,-0.0002739
98,0.0122453,0.021257,-0.0003143
99,0.0122972,0.0214009,-0.000354
100,0.0123481,0.0215438,-0.0003943
101,0.0123916,0.0216792,-0.0004382
102,0.0124372,0.0218168,-0.0004811
103,0.0124759,0.0219474,-0.0005274
104,0.0125134,0.0220769,-0.0005744
105,0.0125514,0.0222068,-0.000621
106,0.0125804,0.0223278,-0.0006722
107,0.0126105,0.0224499,-0.0007229
108,0.0126391,0.0225704,-0.0007742
109,0.012662,0.0226853,-0.0008285
110,0.012683,0.0227982,-0.0008837
111,0.0127041,0.0229113,-0.0009388
112,0.01272,0.0230191,-0.0009965
113,0.0127337,0.0231248,-0.0010554
114,0.0127459,0.0232289,-0.0011149
115,0.0127537,0.0233287,-0.0011767
116,0.0127598,0.0234268,-0.0012394
117,0.0127632,0.0235221,-0.0013033
118,0.0127634,0.0236143,-0.0013689
119,0.0127615,0.0237043,-0.0014356
120,0.0127579,0.0237927,-0.001503
